x,y
293,18
132,325
435,82
69,480
249,286
416,89
267,288
209,470
2,163
396,91
468,387
377,38
52,147
491,300
253,264
387,398
185,280
198,139
16,115
74,249
128,59
339,196
344,413
411,50
440,7
388,277
261,148
33,290
409,374
242,241
377,346
188,179
0,37
414,305
264,123
84,421
59,52
301,424
298,159
314,355
280,411
432,239
48,267
292,255
339,50
425,96
449,386
93,108
255,38
21,172
55,188
51,62
465,148
351,420
434,247
223,278
175,364
420,89
263,114
67,256
278,457
364,365
263,76
97,34
322,289
309,346
454,173
209,374
447,396
366,221
30,59
12,277
182,349
405,100
266,119
127,440
21,30
479,184
153,44
343,34
0,379
432,225
192,131
388,341
356,319
208,497
205,52
123,128
171,238
490,375
97,484
202,361
414,187
54,377
88,363
32,115
400,109
137,210
368,471
395,294
436,281
485,70
460,189
148,211
28,261
2,11
143,24
144,117
465,352
434,43
138,259
378,133
302,55
281,24
350,99
347,418
205,364
302,485
458,315
20,475
101,174
71,168
373,78
182,169
138,321
282,425
190,289
267,420
75,240
109,48
6,1
102,391
320,481
325,456
448,77
433,348
74,115
226,349
176,61
498,7
323,460
482,111
110,363
20,171
490,203
2,277
475,180
410,261
19,118
48,349
185,66
303,228
44,393
353,432
420,349
229,30
113,80
195,294
406,227
364,35
345,144
353,246
496,71
402,417
65,236
66,415
352,285
79,48
137,200
100,305
3,242
123,72
336,125
407,386
248,431
144,51
178,255
266,311
463,332
325,344
249,308
420,315
120,461
319,140
305,414
163,478
26,319
226,403
228,361
315,0
53,400
268,37
452,271
289,100
128,129
259,8
318,235
243,190
12,89
11,360
294,153
28,381
125,218
138,377
329,182
155,344
334,79
144,401
337,426
318,79
34,171
332,387
369,436
307,444
364,147
440,473
133,464
297,370
19,472
439,124
51,474
55,456
476,379
93,288
183,466
357,86
159,158
158,65
236,289
142,175
170,137
419,144
148,395
7,156
99,282
112,485
425,220
432,231
421,476
202,197
377,280
69,96
233,318
4,431
465,422
239,104
420,481
21,428
55,378
409,8
257,468
418,455
190,399
329,176
418,289
213,6
397,36
478,245
17,94
76,395
352,237
338,69
315,104
308,9
116,151
118,481
17,40
428,427
320,131
205,336
80,143
33,362
199,38
52,411
46,89
456,245
108,287
353,264
143,490
287,68
163,304
67,136
431,140
322,499
332,363
167,200
174,473
159,300
294,105
220,397
118,427
155,474
258,391
29,242
48,215
88,85
56,81
182,137
193,80
387,350
234,317
245,140
260,93
127,36
97,118
231,170
137,390
372,229
216,419
386,41
433,260
242,335
385,290
136,447
376,487
356,185
468,449
358,323
365,118
188,441
438,261
212,117
333,184
275,204
23,388
84,377
291,404
480,133
59,440
237,90
23,114
447,322
353,8
327,418
384,443
158,403
277,162
450,445
43,266
87,490
135,228
180,93
120,257
234,245
148,455
420,359
127,14
254,411
103,420
234,199
301,312
340,183
82,259
289,254
295,56
19,324
149,238
98,13
50,229
159,348
408,145
28,161
4,319
207,202
479,66
40,393
196,473
455,370
248,461
169,202
169,328
7,386
249,372
128,115
219,110
272,435
406,63
393,26
144,369
212,249
89,444
370,435
102,381
68,303
34,183
380,127
276,393
282,459
306,89
454,307
116,205
420,37
408,399
282,135
451,222
12,7
48,367
314,245
252,295
256,141
103,386
406,377
16,35
83,342
450,341
37,162
28,283
399,74
243,414
491,248
34,469
119,242
299,348
281,118
108,467
120,137
359,144
176,217
490,51
317,142
225,150
68,93
478,151
498,465
332,291
358,245
125,382
430,491
79,322
191,180
30,463
235,230
290,55
273,290
140,405
467,330
273,280
296,483
119,376
193,164
241,252
330,469
387,338
79,354
308,47
258,207
155,208
26,97
90,331
130,247
118,393
264,185
96,355
232,379
